,ra,dec
388,88.71722094,22.8240873
389,88.65050180999998,25.6039194
390,88.69752329,23.69018421
391,91.8083281,25.62903754
392,90.70914889,26.67913645
393,88.63120662,26.65169318
394,91.80652798,24.76257167
395,87.87141921,17.56370714
396,86.98068962,15.642408
397,85.95115911,15.63017533
398,86.96438716999998,17.55648426
399,87.87862758999998,15.64713614
400,85.92080289,17.54418691
401,96.11193507,19.48118556
402,93.12561205,17.54569025
403,95.0624769,20.34671553
404,94.16909748,17.55792844
405,94.1504116,19.47299921
406,93.15591305,15.63166874
407,93.10963316,18.41187709
408,96.10964969,16.51665682
409,95.08332015,15.64857327
410,94.18544323,15.6438874
411,97.02236323,18.42730272
412,95.06771196,19.48022703
413,96.11018925,17.56356816
414,94.17864026,16.51032774
415,96.1089402,15.65013873
416,96.11082411,18.43005295
417,93.0981066,19.4597438
418,97.02927392,19.47840082
419,94.15929347,18.42432642
420,95.0805529,16.51507144
421,95.07610952,17.56510885
422,93.14238097,16.49789047
423,97.01723765,17.56083908
424,91.20284453,10.3597882
425,90.17564754,12.2660991
426,90.21019055,8.437606739999998
427,90.20180578,9.3039049
428,92.07613796,12.28032749
429,91.208691,9.3121204
430,90.19136117,10.35180048
431,89.31243607,10.34009468
432,91.19107984,12.27499202
433,92.08192654,10.36514075
434,91.21253098,8.445632599999998
435,92.08665586,8.4485126
436,98.7624305,-4.03455693
437,97.76359071,-5.94892852
438,98.76048273,-5.94896668
439,99.62982884,-5.94958001
440,97.76492856,-4.03439357
441,99.62937205,-4.03271949
442,105.82194954,-4.03326451
443,104.82378546,-5.08100817
444,106.68916656,-5.94835836
445,104.8244746,-4.0329592
446,106.68883728,-4.03155641
447,104.82921074,-2.11847846
448,105.822144,-2.11785971
449,103.95764445,-4.03391242
450,105.81984947,-5.94761517
451,106.68757082,-2.11617639
452,104.8230134,-5.94744105
453,103.8163857,1.25265306
454,103.81112521,5.08396475
455,104.67963262,3.16707432
456,100.95842149,5.07505146
457,103.81524129,2.11925432
458,102.82855892,1.2511573
459,100.96361333,3.1606771
460,104.67925756,4.03360971
461,101.9562906,4.03092065
462,102.82794002,2.11773358
463,102.82617332,3.167877
464,102.8227953,5.08311942
465,101.96375182,1.25014971
466,100.97202133,1.246283
467,101.95457371,5.07969134
468,100.96832824,2.11267227
469,103.81230531,4.03277458
470,101.96263708,2.11668895
471,103.81354537,3.1662328
472,101.96011709,3.16440792
473,104.67936526,5.08477265
474,100.09762196,3.15444384
475,95.89969725,3.16665229
476,95.03727577,1.24881722
477,94.03705196000001,3.15929765
478,95.0335849,3.16311902
479,69.89209714,39.14208855
480,68.60962694,39.11361053
481,79.91356467999998,46.34088676
482,79.98342472999998,44.42743078
483,78.47351621999998,46.30466112
484,78.59611972,44.39240812
485,81.16631518,46.35867619
486,118.57544252,25.60655122
487,119.71708239,22.84327683
488,120.65524243,22.84973617
489,120.62760036,27.54773919
490,119.65239144,27.53850606
491,118.59781308,24.74048858
492,118.55640676,26.65432611
493,117.58930114,26.63011743
494,117.67820072,23.6718162
495,117.70387708,22.80596348
496,119.69320546,24.75717766
497,121.7331335,25.63093974
498,121.73796279,27.54855304
499,122.71330415,27.54346005
500,122.70381004,26.67702637
501,122.68341408,24.75956194
502,123.778229,24.74937959
503,122.6650923,22.8462934
504,118.62199197,23.69285012
505,119.67975998,25.62353469
506,121.72688225,22.85108073
507,119.70693101,23.70965167
508,123.79548808,25.61567579
509,122.6733671,23.71271754
510,118.64149022,22.82675109
511,122.69227016,25.62597327
512,118.53260088,27.52043601
513,120.63424028,26.68128229
514,120.63883948,25.63264978
515,119.66651429,26.67215748
516,117.61705429,25.58307924
517,121.73596028,26.68204665
518,120.65133234,23.71620623
519,120.64542044,24.76621048
520,123.81653681,26.66051989
521,121.72894408,23.71757726
522,121.73112249,24.7644814
523,122.48167307,4.03137895
524,123.34551625,5.94996157
525,121.48896155,3.16133436
526,123.34861257,4.03472216
527,121.49357488,2.11336764
528,124.33880776,3.16641539
529,124.34146926,1.25284635
530,124.3403967,2.11942933
531,121.49720224,1.24700035
532,124.33765828,4.03293413
533,122.48542671,3.16489555
534,125.20628786,1.25360817
535,125.20481618,5.95131435
536,121.48397024,5.07565169
537,124.33657052,5.08410574
538,122.47613212,5.94663781
539,126.20187079,4.03642781
540,123.35367987,1.25153709
541,120.62304785,3.15523768
542,120.62844219,2.10924683
543,120.61651243,4.02145127
544,121.48329028,4.02767905
545,123.34827396,5.08343576
546,125.20458548,4.03361464
547,126.20066616,3.16993097
548,122.48785738,2.11720179
549,120.61584037,5.06887239
550,125.20478405,5.08477857
551,124.33532801,5.9506589
552,123.35312629,2.1180974
553,123.35145832,3.16819861
554,122.48889102,1.25068421
555,122.48008528,5.08014177
556,120.63249609,1.24296589
557,126.20322207,5.081507
558,125.20569929,2.12014566
559,125.20488868,3.16711321
560,108.56377966,-11.22828507
561,109.57820507,-11.23261724
562,110.4598554,-11.23260684
563,112.44641692,-18.42123874
564,97.24562995,10.35176554
565,101.02326478,12.28009551
566,99.14080627000001,8.44835012
567,98.2666913,8.44553862
568,100.13811978,12.28103797
569,97.26432071,8.43758283
570,96.36669402,10.34014292
571,98.25712214,10.35967342
572,98.24553596,12.27488126
573,97.23007604,12.26604057
574,99.13622587,10.36494274
575,98.26290618,9.3120102
576,99.13061469,12.28016266
577,97.25599438,9.30388631
578,100.13848352,10.36336646
579,88.23540077,39.15914373
580,85.83796859,39.11623347
581,123.89498248,32.82166244
582,122.71027597,32.79939699
583,124.93247937,31.96662271
584,121.68242845,32.76901291
585,121.64090643,33.81577059
586,122.74112361,31.933489
587,122.77503476,30.88602012
588,127.15918425,34.74136379
589,124.90862656,34.74812146
590,127.09827088,30.91082149
591,124.92400765,32.83305305
592,126.10304516,33.88238051
593,126.0981566,32.83128058
594,128.31083713,32.80829609
595,123.85636343,34.73651924
596,127.08561711,30.04443879
597,126.0945131,31.9648414
598,123.91335451,31.95536965
599,126.08684706,30.05147285
600,122.80231444,30.02006986
601,121.76828303,30.85834349
602,122.68126957,33.84701677
603,124.94043858,30.91664436
604,126.09044887,30.91796268
605,128.25287203,30.89708643
606,124.9459354,30.05018098
607,126.10676967,34.74889032
608,123.94720914,30.04157032
609,123.93265786,30.90791163
610,127.14468259,33.87495913
611,128.28538185,31.94212658
612,127.1272436,32.82396232
613,127.1137426,31.95759623
614,123.87578973,33.87022284
615,124.91729679,33.88166785
616,128.342067,33.85298295
617,127.20018727,11.22860653
618,126.19514713,10.35463334
619,129.08768902,11.23169302
620,125.3034347,11.20941981
621,125.33941764,8.43127654
622,126.18485951,11.22090933
623,128.07679131,13.14877807
624,130.9776183,10.3625623
625,127.19544398,12.27731634
626,127.21558441,8.44806761
627,129.0880456,8.45171938
628,129.96934048,11.23046913
629,126.21332745,8.440484469999998
630,128.08182581,11.23361682
631,130.98358773,11.22900287
632,126.18007004,12.26883268
633,129.96431057,9.31707931
634,129.97582475,13.14808921
635,128.08965125,8.45056357
636,129.08792381,12.28283689
637,129.08776021,13.14935183
638,126.20521726,9.30675323
639,130.99072644,12.27403575
640,125.32919972,9.29743807
641,126.16898062,13.13517291
642,129.97296937,12.28159599
643,129.9621308,8.450568199999998
644,127.2120371,9.31453414
645,128.08045593,12.2822875
646,129.96684813,10.3639886
647,125.31628659,10.34330199
648,129.08805314,9.31826071
649,128.08555831,10.36714035
650,128.08825776,9.31707857
651,129.08776162,10.36519654
652,127.20653257,10.36216975
653,130.96833932,9.31713323
654,127.18879507,13.14376028
655,125.29520204,12.25676007
656,129.52408167,19.47468791
657,132.40876518,20.34534369
658,128.47178432,19.46187717
659,130.43278705,21.39378098
660,132.37875906,15.64803882
661,133.43279691,17.55560754
662,128.51482724,16.50005974
663,133.44400651,18.42197286
664,129.50417043,21.3849195
665,127.61332115,16.48522119
666,129.5574846,15.64562619
667,129.53251611,18.42602579
668,130.45290208,16.51642169
669,128.43683971,21.37273373
670,127.63048388,15.61915815
671,130.4488935,17.56645144
672,131.48197341,16.51757152
673,129.55103985,16.51206447
674,128.4828756,18.41403205
675,131.48089984,15.65104637
676,127.55486108,19.44413147
677,127.57178247,18.39691706
678,131.48955389,21.39539347
679,131.48395186,18.43093679
680,128.45514168,20.32812754
681,132.38994033,17.56137205
682,133.45755812,19.46691089
683,130.43644562,20.34798669
684,130.45532816,15.64992775
685,133.41722528,16.51027616
686,132.39543216,18.42779695
687,133.40507665,15.64399513
688,131.48549088,19.48203771
689,128.49849753,17.54784809
690,132.40278773,19.47887191
691,130.4413242,19.48152731
692,131.48295123,17.56447514
693,132.38384987,16.51450872
694,128.52802209,15.63386158
695,129.54195669,17.559652
696,131.48643447,20.34854473
697,130.44400776,18.43289384
698,129.51421149,20.34108843
699,136.69572867,25.63032426
700,136.6885605,22.85047558
701,137.64568188,24.75868266
702,136.69089118,23.71697225
703,135.61328736,23.71590831
704,136.69892968,26.6814108
705,137.66672628,26.67611239
706,138.77945468,26.6593018
707,137.65481803,25.62508082
708,135.60145249,25.63235375
709,134.66890556,23.70963079
710,137.63530241,23.71185705
711,136.69341618,24.76387658
712,135.61692248,22.84943737
713,135.60772858,24.76591711
714,138.74049058,24.74818899
715,136.57572215,19.47498618
716,137.48822297,20.34816607
717,136.60865195,15.64591763
718,141.39111898,17.54242882
719,139.42993286,15.64793414
720,137.492971,19.48170049
721,136.59334271,17.55992834
722,138.53206343,15.65106987
723,138.5382031,20.34858459
724,139.43512934,16.51440116
725,137.50647551,15.6500843
726,137.50416531,16.51657737
727,134.66457265,16.48577543
728,134.60650592,19.44469176
729,134.62326814,18.3974623
730,138.53714015,19.48206856
731,136.58401857,18.42631997
732,136.60230429,16.51234458
733,140.46850869,16.51002129
734,139.44136301,17.56126302
735,137.5002912,17.5666083
736,139.45445136,19.47878682
737,135.54989228,17.54827059
738,135.57916567,15.6342913
739,135.52343674,19.4623187
740,140.45624752,15.64374762
741,140.49552322,18.42173135
742,136.56597475,20.3413809
743,137.48470917,21.39396403
744,138.53434798,17.5644891
745,135.56608307,16.500501
746,140.50921984,19.46669249
747,137.49551464,18.43306062
748,135.53438105,18.41445839
749,139.46054277,20.34526431
750,139.44695623,18.42769662
751,140.48419871,17.55535551
752,138.54147268,21.39543809
753,141.42629526,19.45358501
754,138.53545312,18.43095862
755,138.53323579,16.5175815
756,98.21295854,22.84463236
757,96.17940178,23.68726801
758,98.19118959,26.67624786
759,99.29297012,26.67725855
760,98.20277426,24.76114571
761,99.28852475,24.759669
762,94.45493422,39.11622965
763,95.73725365,39.14475253
764,95.78604478,37.23107238
765,96.85233629,39.15911161
766,94.54135379,37.2032421
767,96.87207437,37.24266542
768,94.50292699,38.06899102
769,173.2634568,61.46085861
770,175.35543693,59.63035764
771,173.04200569,62.50313575
772,174.90944496,62.58492494
773,173.44784511,60.59922589
774,179.00385154,60.75785891
775,177.06288368,62.64608447
776,175.06831684,61.5395471
777,177.3195944,59.68559409
778,178.94523715,62.6729848
779,175.47293036,58.76610116
780,179.05406541,58.84134669
781,173.6529506,59.55822345
782,175.20453116,60.67564812
783,177.15694821,61.59819903
784,177.38388765,58.81971207
785,173.81271102,58.69586897
786,177.23489462,60.73247406
787,106.73910681,39.15872671
788,105.46757067,39.16018429
789,103.0702457,39.11763421
790,104.35251938,39.14597814
791,103.15629987,37.2046726
792,104.4009507,37.2323246
793,105.48692974,37.24376204
794,127.1886561,23.70791187
795,127.19851872,22.84152436
796,129.21062588,23.71532075
797,130.14646937,22.84377983
798,128.12745842,24.76423252
799,126.05774481,25.60510373
800,126.10367866,23.69136945
801,127.14916442,26.67040228
802,125.07193192,26.62892299
803,126.03906029,26.65286851
804,131.31734651,27.52386934
805,131.21879665,22.83519
806,126.12292229,22.8252845
807,130.19621547,27.54087742
808,128.12116517,25.63064809
809,130.16540186,24.75704236
810,128.10518979,28.59149361
811,129.2258091,28.59306766
812,127.13533224,27.5367423
813,129.20831112,22.8488289
814,126.07984777,24.7390427
815,131.23706421,23.70136709
816,128.13302148,23.71423056
817,125.15989438,23.670583
